name,synth,flatten,extract_fa,abc_script,area,delay,module,type1,type2,bitwidth,const_v,is_const,adder_1_area,adder_2_area,adder_1_delay,adder_2_delay
n_2_input/low_level_2_adder_2_2.v,0,0,0,6,1.6767,107.14,2,low,adder,2,2,False,0.59778,0.64152,36.24,38.66
n_2_input/low_level_2_adder_2_2.v,0,0,0,7,1.6767,108.03,2,low,adder,2,2,False,0.59778,0.64152,36.24,38.66
n_2_input/low_level_2_adder_2_2.v,0,0,1,0,1.10808,108.86,2,low,adder,2,2,False,0.33534,0.33534,37.1,39.12
n_2_input/low_level_2_adder_2_2.v,0,0,1,1,1.10808,105.16,2,low,adder,2,2,False,0.33534,0.33534,39.12,37.1
n_2_input/low_level_2_adder_2_2.v,0,0,1,2,1.10808,113.33,2,low,adder,2,2,False,0.33534,0.33534,41.99,37.1
n_2_input/low_level_2_adder_2_2.v,0,0,1,3,1.1664,104.18,2,low,adder,2,2,False,0.33534,0.33534,39.12,39.12
n_2_input/low_level_2_adder_2_2.v,0,0,1,4,1.1664,107.55,2,low,adder,2,2,False,0.33534,0.33534,39.12,39.12
n_2_input/low_level_2_adder_2_2.v,0,0,1,5,1.19556,109.61,2,low,adder,2,2,False,0.33534,0.33534,37.1,37.1
n_2_input/low_level_2_adder_2_2.v,0,0,1,6,1.10808,115.42,2,low,adder,2,2,False,0.33534,0.33534,37.1,37.1
n_2_input/low_level_2_adder_2_2.v,0,0,1,7,1.10808,115.42,2,low,adder,2,2,False,0.33534,0.33534,41.99,37.1
n_2_input/low_level_2_adder_2_2.v,0,1,0,0,0.45198,39.13,2,low,adder,2,2,False,0.59778,0.64152,36.24,38.66
n_2_input/low_level_2_adder_2_2.v,0,1,0,1,0.49572,35.74,2,low,adder,2,2,False,0.64152,0.64152,38.66,38.66
n_2_input/low_level_2_adder_2_2.v,0,1,0,2,0.45198,39.13,2,low,adder,2,2,False,0.64152,0.64152,38.66,38.66
n_2_input/low_level_2_adder_2_2.v,0,1,0,3,0.61236,40.98,2,low,adder,2,2,False,0.64152,0.64152,39.39,39.39
n_2_input/low_level_2_adder_2_2.v,0,1,0,4,0.61236,40.98,2,low,adder,2,2,False,0.61236,0.64152,35.37,39.39
n_2_input/low_level_2_adder_2_2.v,0,1,0,5,0.69984,52.18,2,low,adder,2,2,False,0.729,0.729,53.24,53.24
n_2_input/low_level_2_adder_2_2.v,0,1,0,6,0.45198,39.13,2,low,adder,2,2,False,0.59778,0.64152,36.24,38.66
n_2_input/low_level_2_adder_2_2.v,0,1,0,7,0.45198,39.13,2,low,adder,2,2,False,0.59778,0.64152,36.24,38.66
n_2_input/low_level_2_adder_2_2.v,0,1,1,0,0.4374,49.45,2,low,adder,2,2,False,0.33534,0.33534,39.12,41.99
n_2_input/low_level_2_adder_2_2.v,0,1,1,1,0.4374,51.51,2,low,adder,2,2,False,0.33534,0.33534,39.12,37.1
n_2_input/low_level_2_adder_2_2.v,0,1,1,2,0.4374,54.23,2,low,adder,2,2,False,0.33534,0.33534,41.99,41.99
n_2_input/low_level_2_adder_2_2.v,0,1,1,3,0.4374,54.23,2,low,adder,2,2,False,0.33534,0.33534,41.99,37.1
n_2_input/low_level_2_adder_2_2.v,0,1,1,4,0.4374,54.23,2,low,adder,2,2,False,0.33534,0.33534,37.1,41.99
n_2_input/low_level_2_adder_2_2.v,0,1,1,5,0.4374,51.51,2,low,adder,2,2,False,0.33534,0.33534,39.12,41.99
n_2_input/low_level_2_adder_2_2.v,0,1,1,6,0.4374,51.51,2,low,adder,2,2,False,0.33534,0.33534,41.99,37.1
